u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,junction,access,width,tunnel,bridge
5518536459,342647082,0,"[6287844, 331296070, 6287847, 575040966, 575040967]",unclassified,"['2', '1']",20 mph,"['Portland Crescent', 'Cookridge Street', 'Portland Gate']",True,,False,275.14813745657364,"LINESTRING (429966.16787078907 434190.1962028274, 429964.3729349565 434190.74106221483, 429963.145529422 434191.1115232663, 429958.16965926916 434190.59020318475, 429953.3413941797 434188.6122772574, 429948.7681088747 434183.83214072813, 429937.1813385291 434170.65137754707, 429930.71013730176 434163.96767411975, 429920.6054063919 434150.7518982203, 429917.4497496732 434145.71379715623, 429896.23207545356 434113.12303098233, 429890.2443588286 434103.9279082485, 429881.6084391753 434090.6659414362, 429881.29018256196 434087.89345290256, 429881.5239556545 434085.3136264818, 429882.8491848575 434081.99528231856, 429893.3862950405 434075.96513026534, 429923.0303007598 434057.58411520266, 429967.10756257025 434129.6636824445)",,,,,
10563335054,643911,0,603499170,unclassified,2,20 mph,York Street,True,,False,24.52958157350607,"LINESTRING (430712.27672811586 433452.46717714344, 430736.4826779195 433456.8536141057)",,,,,
10563335054,5728993698,0,"[670751728, 1079858510, 1079858511]",unclassified,2,20 mph,York Street,False,,True,111.65128131056493,"LINESTRING (430712.27672811586 433452.46717714344, 430694.42689396214 433451.19329555565, 430681.7719247955 433451.31084663305, 430680.77055277536 433451.32655501575, 430669.2147442972 433451.58483986405, 430641.7528907053 433451.49452858407, 430628.03184464364 433451.44949787273, 430613.6125749585 433451.3999543057, 430612.7826108624 433451.3945422567, 430600.3458157657 433451.39134628663)",,,,,
6309354601,6264670261,0,673731118,secondary_link,1,,,True,,False,36.173836178865805,"LINESTRING (430815.14617214294 433413.9987232322, 430823.51508058846 433399.5003762384, 430829.2085230922 433393.18460579135, 430833.14264898817 433387.9476710722, 430835.4139178936 433384.14624499134)",,no,,,
6309354601,6905250281,0,"[1067008053, 1136185236, 673731117]","['trunk', 'trunk_link']","['3', '1']",30 mph,Duke Street,True,A61,False,59.771480920316726,"LINESTRING (430815.14617214294 433413.9987232322, 430819.75001536193 433408.0874650794, 430828.2645308074 433400.51068226155, 430832.61358512973 433397.2903441683, 430839.19281212246 433393.517214895, 430845.23637438513 433390.0632399133, 430850.02956467523 433386.4230340411, 430862.0972548143 433377.46774027625)",,,,,
6264670261,659985459,0,668997035,secondary,1,30 mph,Duke Street,True,A653,False,47.60083137353179,"LINESTRING (430835.4139178936 433384.14624499134, 430846.95248768904 433374.50872873096, 430851.7882021204 433368.40987698245, 430853.7770591169 433365.48558673204, 430855.81340614497 433360.3474625177, 430856.1352022886 433356.488728386, 430856.51387593464 433353.9989111874, 430856.8948900333 433351.15306568774, 430857.6883872306 433344.68273600785)",,,,,
5751843770,52681726,0,760871599,motorway_link,1,40 mph,,True,A58(M),False,148.0285163949956,"LINESTRING (430188.33926059236 434363.62232588034, 430174.14883248584 434369.39467139833, 430143.6469850638 434381.0037529926, 430122.6278859021 434387.6670172409, 430098.4334051747 434394.4880332985, 430071.2178379165 434402.05753623263, 430047.9692746677 434411.3437993375)",,,,,
5751843770,21545957,0,"[760871600, 115383104]",motorway_link,1,40 mph,,True,A58(M),False,219.6805189668003,"LINESTRING (430188.33926059236 434363.62232588034, 430171.93100069225 434366.06475626084, 430140.76283748436 434377.84759531764, 430109.9640215674 434387.51900063653, 430089.44874684676 434391.6265813642, 430069.5945441457 434394.32543853414, 430052.3282214597 434396.0618288802, 430012.83875596116 434396.0761815335, 430002.6041775655 434396.0775064372, 429972.64726027765 434398.7678380945)",,,,,
6307064281,6307064269,0,673495204,living_street,,,Russell Street,False,,True,8.58426297525016,"LINESTRING (429839.327883016 433613.35469261114, 429839.2798793993 433621.94392731006)",,,,,
10302853269,6307064269,0,"[22762515, 1359590276]",living_street,,20 mph,Russell Street,False,,False,95.41848275416301,"LINESTRING (429931.70936306735 433630.18722405366, 429929.2183283495 433626.23261554644, 429925.3838542562 433624.294440506, 429899.1952116962 433624.0719523671, 429895.02076187934 433621.73108869477, 429877.55773904454 433621.8535765498, 429845.9526337442 433621.9307104361, 429839.2798793993 433621.94392731006)",,,,,
6905250281,1606819527,0,737539058,trunk_link,1,30 mph,Duke Street,True,,False,29.69947447225675,"LINESTRING (430862.0972548143 433377.46774027625, 430866.7584465266 433376.87530816125, 430875.84947936866 433375.81132631504, 430878.9378161807 433375.987407901, 430886.2848012531 433376.681067609, 430891.6947310472 433377.42875045654)",,,,,
6905250281,643851,0,1340869408,trunk,2,30 mph,Duke Street,True,A61,False,23.92036282370143,"LINESTRING (430862.0972548143 433377.46774027625, 430869.27046348614 433370.5275431132, 430872.63860279415 433367.2229074532, 430879.63486876106 433361.1494190148)",,,,,
9755805529,7275677007,0,4372004,unclassified,2,20 mph,Vicar Lane,False,,True,137.53395501993538,"LINESTRING (430382.29803167796 433585.0046564636, 430385.52472417377 433596.35217353865, 430393.73904298455 433625.82344265725, 430397.61324888346 433640.924744988, 430399.4560952695 433648.2800759071, 430400.4275954649 433652.87042754435, 430404.37720970274 433671.57716581644, 430409.963106951 433697.9939497943, 430411.1006495195 433703.38647785096, 430411.66869901627 433706.19400095334, 430412.7448430089 433719.02966789564)",,yes,,,
9755805529,342579538,0,"[30831673, 192930242, 4372014]",unclassified,"['2', '1']",20 mph,"['Ludgate Hill', 'Dyer Street', 'George Street']",True,,False,256.18393489727134,"LINESTRING (430382.29803167796 433585.0046564636, 430393.52260163694 433583.964676504, 430430.48569711094 433586.5740414519, 430496.2178529783 433592.7417849585, 430500.9319899213 433593.0839490396, 430537.7969556976 433595.571135842, 430542.92026580154 433595.7936140044, 430556.9731207914 433596.4080035625, 430586.88621671475 433597.248136046, 430607.1641063678 433597.82535538403, 430610.72691785 433597.948723009, 430625.01479787956 433597.8750150397, 430630.11505589617 433599.6106240507, 430634.63288011693 433599.7513675961, 430638.3571858275 433599.3528709897)",,,,,
