osmid,y,x,street_count,highway,junction,geometry
342579502,433361.33780250396,430578.6409490701,3,,,POINT (430578.6409490701 433361.33780250396)
340480305,433299.75521235575,429997.68175695004,3,,yes,POINT (429997.68175695004 433299.75521235575)
11824674560,433412.89799795765,429938.2525549553,2,crossing,,POINT (429938.2525549553 433412.89799795765)
5728993698,433451.39134628663,430600.3458157657,3,,,POINT (430600.3458157657 433451.39134628663)
342579538,433599.3528709897,430638.3571858275,2,,,POINT (430638.3571858275 433599.3528709897)
342579667,433601.7125710632,430664.05776864936,2,,,POINT (430664.05776864936 433601.7125710632)
342579557,433417.67897330807,430826.6169393829,1,,,POINT (430826.6169393829 433417.67897330807)
342579559,433422.1534636554,430842.1205131445,3,,,POINT (430842.1205131445 433422.1534636554)
342579565,433434.07811728155,430884.00344435323,4,,,POINT (430884.00344435323 433434.07811728155)
1591164975,433410.9861853578,430844.3611199374,1,,,POINT (430844.3611199374 433410.9861853578)
7241259895,433461.1176232961,430877.60715857445,1,,,POINT (430877.60715857445 433461.1176232961)
1020737635,433452.7282859266,430968.8108376691,3,crossing,,POINT (430968.8108376691 433452.7282859266)
342579580,433799.9474866239,430637.9503785005,3,,,POINT (430637.9503785005 433799.9474866239)
342579586,433804.39533791237,430675.0182090239,3,,,POINT (430675.0182090239 433804.39533791237)
342579596,433805.9815652156,430716.81425849866,1,,,POINT (430716.81425849866 433805.9815652156)
342579609,433842.8080352,430697.82739120605,1,,,POINT (430697.82739120605 433842.8080352)
5728993707,433451.4304821837,430795.20444206387,3,,,POINT (430795.20444206387 433451.4304821837)
682264890,433344.1223291346,430784.18927405134,4,,yes,POINT (430784.18927405134 433344.1223291346)
5728993689,433482.50689448556,430883.34889554797,4,,,POINT (430883.34889554797 433482.50689448556)
342647082,434129.6636824445,429967.10756257025,3,,,POINT (429967.10756257025 434129.6636824445)
5518536463,434187.30751333944,429972.0480707564,3,,,POINT (429972.0480707564 434187.30751333944)
342660313,433934.24581122724,430079.29986054945,4,,,POINT (430079.29986054945 433934.24581122724)
9077392916,433892.33255988976,430079.25885381975,3,,,POINT (430079.25885381975 433892.33255988976)
342660331,434065.8943771195,430036.0924473299,3,,,POINT (430036.0924473299 434065.8943771195)
342660345,433979.1449511852,430064.33734673436,3,,,POINT (430064.33734673436 433979.1449511852)
358204014,433773.59051405557,430985.65107463807,3,,,POINT (430985.65107463807 433773.59051405557)
1152092828,433643.6993828304,431398.9493939945,1,,,POINT (431398.9493939945 433643.6993828304)
395469494,434038.8416904068,430845.1888891188,4,,yes,POINT (430845.1888891188 434038.8416904068)
395469497,434035.3205145346,430866.3941490779,3,,,POINT (430866.3941490779 434035.3205145346)
52162287,434092.9435993094,430905.2174562086,3,,,POINT (430905.2174562086 434092.9435993094)
395471670,434175.60567046877,430937.9404737029,3,,,POINT (430937.9404737029 434175.60567046877)
13030649306,434146.7018692385,430862.27630587295,3,,,POINT (430862.27630587295 434146.7018692385)
1591373213,433967.4805695849,430943.75832122687,3,,,POINT (430943.75832122687 433967.4805695849)
474665273,433506.0865519586,430991.83691294043,3,,,POINT (430991.83691294043 433506.0865519586)
615978081,433802.6804025433,430812.3972354456,4,,,POINT (430812.3972354456 433802.6804025433)
1569761300,433783.8291616144,430811.9149894252,4,,,POINT (430811.9149894252 433783.8291616144)
1569783677,433792.84686453734,430794.07796894974,3,,,POINT (430794.07796894974 433792.84686453734)
